2024-05-05 16:20:43,602,Step: 10, Action: 2, Reward: 10.7, Observation: [3 1 1 0 2], Done: False
2024-05-05 16:20:43,610,Step: 15, Action: 2, Reward: 10.8, Observation: [3 3 2 1 2], Done: False
2024-05-05 16:20:43,617,Step: 20, Action: 0, Reward: 10.9, Observation: [4 6 2 1 0], Done: False
2024-05-05 16:20:43,626,Step: 25, Action: 0, Reward: 10.3, Observation: [5 6 1 2 0], Done: False
2024-05-05 16:20:43,634,Step: 30, Action: 1, Reward: 11.4, Observation: [6 7 2 3 1], Done: False
2024-05-05 16:20:43,642,Step: 35, Action: 3, Reward: 11.5, Observation: [7 5 3 4 3], Done: False
2024-05-05 16:20:43,651,Step: 40, Action: 4, Reward: 11.5, Observation: [5 5 6 6 4], Done: False
2024-05-05 16:20:43,660,Step: 45, Action: 3, Reward: 10.8, Observation: [4 7 7 6 3], Done: False
2024-05-05 16:20:43,669,Step: 50, Action: 0, Reward: 9.4, Observation: [5 8 8 8 0], Done: False
2024-05-05 16:20:43,678,Step: 55, Action: 1, Reward: 10.5, Observation: [ 5 10  7 11  1], Done: False
2024-05-05 16:20:43,687,Step: 60, Action: 3, Reward: 10.0, Observation: [ 2  9  8 12  3], Done: False
2024-05-05 16:20:43,696,Step: 65, Action: 3, Reward: 8.9, Observation: [ 2  9  9 12  3], Done: False
2024-05-05 16:20:43,706,Step: 70, Action: 1, Reward: 8.5, Observation: [ 4  7  9 14  1], Done: False
2024-05-05 16:20:43,715,Step: 75, Action: 0, Reward: 8.4, Observation: [ 5  6  9 14  0], Done: False
2024-05-05 16:20:43,724,Step: 80, Action: 3, Reward: 8.6, Observation: [ 5  7  5 15  3], Done: False
2024-05-05 16:20:43,734,Step: 85, Action: 4, Reward: 7.7, Observation: [ 5  8  6 16  4], Done: False
2024-05-05 16:20:43,743,Step: 90, Action: 1, Reward: 7.100000000000001, Observation: [ 7  7  9 18  1], Done: False
2024-05-05 16:20:43,752,Step: 95, Action: 1, Reward: 8.3, Observation: [ 9  5 11 19  1], Done: False
2024-05-05 16:20:43,762,Step: 100, Action: 0, Reward: 7.2, Observation: [10  6 10 20  0], Done: False
2024-05-05 16:20:43,772,Step: 105, Action: 3, Reward: 8.6, Observation: [ 8  8 11 22  3], Done: False
2024-05-05 16:20:43,782,Step: 110, Action: 2, Reward: 7.9, Observation: [ 4  9 13 23  2], Done: False
2024-05-05 16:20:43,792,Step: 115, Action: 1, Reward: 10.7, Observation: [ 5  8 14 20  1], Done: False
2024-05-05 16:20:43,802,Step: 120, Action: 1, Reward: 9.0, Observation: [ 7  4 17 21  1], Done: False
2024-05-05 16:20:43,812,Step: 125, Action: 0, Reward: 6.4, Observation: [ 9  6 18 23  0], Done: False
2024-05-05 16:20:43,822,Step: 130, Action: 2, Reward: 8.4, Observation: [12  8 14 20  2], Done: False
2024-05-05 16:20:43,833,Step: 135, Action: 1, Reward: 11.3, Observation: [13  8 13 19  1], Done: False
2024-05-05 16:20:43,843,Step: 140, Action: 4, Reward: 8.0, Observation: [17  8 14 20  4], Done: False
2024-05-05 16:20:43,852,Step: 145, Action: 0, Reward: 5.3, Observation: [19  9 12 23  0], Done: False
2024-05-05 16:20:43,860,Step: 150, Action: 0, Reward: 3.8999999999999995, Observation: [22 13  8 24  0], Done: False
2024-05-05 16:20:43,868,Step: 155, Action: 1, Reward: 4.2, Observation: [23 11  9 24  1], Done: False
2024-05-05 16:20:43,877,Step: 160, Action: 0, Reward: 2.000000000000001, Observation: [26 10 10 24  0], Done: False
2024-05-05 16:20:43,886,Step: 165, Action: 0, Reward: 1.6000000000000014, Observation: [29 12 10 25  0], Done: False
2024-05-05 16:20:43,904,Step: 170, Action: 0, Reward: 0.6000000000000014, Observation: [31 15  9 28  0], Done: False
2024-05-05 16:20:43,912,Step: 175, Action: 1, Reward: -0.6000000000000014, Observation: [33 14  6 30  1], Done: False
2024-05-05 16:20:43,921,Step: 180, Action: 2, Reward: 0.5, Observation: [34 13  9 28  2], Done: False
2024-05-05 16:20:43,930,Step: 185, Action: 3, Reward: 2.1000000000000023, Observation: [33 14  9 23  3], Done: False
2024-05-05 16:20:43,940,Step: 190, Action: 1, Reward: 5.700000000000001, Observation: [32 13 10 23  1], Done: False
2024-05-05 16:20:43,950,Step: 195, Action: 1, Reward: 7.700000000000001, Observation: [34 10 12 25  1], Done: False
2024-05-05 16:20:43,960,Step: 200, Action: 0, Reward: 3.000000000000001, Observation: [35  7 11 28  0], Done: False
2024-05-05 16:20:43,970,Step: 205, Action: 0, Reward: -0.29999999999999716, Observation: [37  8 10 31  0], Done: False
2024-05-05 16:20:43,980,Step: 210, Action: 2, Reward: -1.6999999999999993, Observation: [39  8  7 28  2], Done: False
2024-05-05 16:20:43,990,Step: 215, Action: 0, Reward: 0.40000000000000036, Observation: [42  9  7 26  0], Done: False
2024-05-05 16:20:44,000,Step: 220, Action: 1, Reward: 0.0, Observation: [44 10  7 27  1], Done: False
2024-05-05 16:20:44,010,Step: 225, Action: 0, Reward: -2.099999999999998, Observation: [45  9  6 28  0], Done: False
2024-05-05 16:20:44,020,Step: 230, Action: 2, Reward: -4.599999999999998, Observation: [46  9  4 27  2], Done: False
2024-05-05 16:20:44,031,Step: 235, Action: 1, Reward: -1.3000000000000007, Observation: [47 10  3 24  1], Done: False
2024-05-05 16:20:44,041,Step: 240, Action: 4, Reward: -1.6999999999999993, Observation: [50  6  6 25  4], Done: False
